"","X","Home.Team","Away.Team","Score","Half.Time.Score","Match.Excitement","Home.Team.Rating","Away.Team.Rating","Home.Team.Possession..","Away.Team.Possession..","Home.Team.Off.Target.Shots","Home.Team.On.Target.Shots","Home.Team.Total.Shots","Home.Team.Blocked.Shots","Home.Team.Corners","Home.Team.Throw.Ins","Home.Team.Pass.Success..","Home.Team.Aerials.Won","Home.Team.Clearances","Home.Team.Fouls","Home.Team.Yellow.Cards","Home.Team.Second.Yellow.Cards","Home.Team.Red.Cards","Away.Team.Off.Target.Shots","Away.Team.On.Target.Shots","Away.Team.Total.Shots","Away.Team.Blocked.Shots","Away.Team.Corners","Away.Team.Throw.Ins","Away.Team.Pass.Success..","Away.Team.Aerials.Won","Away.Team.Clearances","Away.Team.Fouls","Away.Team.Yellow.Cards","Away.Team.Second.Yellow.Cards","Away.Team.Red.Cards","Home.Team.Goals.Scored","Away.Team.Goals.Scored","Home.Team.Goals.Conceeded","Away.Team.Goals.Conceeded","year"
"1",0,"MÁLAGA","ATHLETIC","1-0","1-0",4.4,6,5.7,40,60,5,3,12,4,5,13,69,11,16,13,3,0,2,5,5,12,2,4,22,84,17,14,9,3,0,0,1,0,0,1,2014
"2",1,"SEVILLA FC","VALENCIA","1-1","1-0",4.7,6.5,6.8,47,53,4,3,12,5,3,20,76,13,16,23,4,0,0,5,1,11,5,3,27,79,14,16,8,2,0,1,1,1,1,1,2014
"3",2,"GRANADA","DEPORTIVO","2-1","0-1",4.6,7.2,5.9,53,47,6,3,10,1,5,25,79,20,21,13,1,0,0,1,1,8,6,3,30,76,10,14,26,3,0,0,2,1,1,2,2014
"4",3,"ALMERÍA","ESPANYOL","1-1","0-0",5.6,6.9,5.5,56,44,7,6,19,6,11,26,81,19,25,8,3,0,0,6,2,12,4,7,19,70,11,20,9,3,1,0,1,1,1,1,2014
"5",4,"EIBAR","REAL SOCIEDAD","1-0","1-0",3.7,6.5,5.9,41,59,5,5,12,2,5,28,60,29,17,13,4,0,0,7,4,19,8,6,36,75,25,20,14,1,0,0,1,0,0,1,2014
"6",5,"BARCELONA","ELCHE","3-0","1-0",5.1,8,5.3,72,28,5,6,12,1,3,23,93,2,2,11,0,0,1,3,0,3,0,1,19,81,4,17,13,1,0,0,3,0,0,3,2014
"7",6,"CELTA","GETAFE","3-1","1-0",7,7.3,5.5,59,41,4,9,20,7,4,21,82,27,15,19,4,0,0,8,3,12,1,4,19,74,22,7,15,1,0,0,3,1,1,3,2014
"8",7,"LEVANTE","VILLARREAL","0-2","0-0",4.7,5.6,7.3,53,47,4,2,9,3,3,16,80,19,12,11,1,0,0,5,6,12,1,4,14,78,21,18,14,3,0,0,0,2,2,0,2014
"9",8,"REAL MADRID","CÓRDOBA","2-0","1-0",4.7,6.9,5.5,63,37,3,8,14,3,8,25,88,23,13,9,1,0,0,6,2,8,0,5,18,79,15,27,13,2,0,0,2,0,0,2,2014
"10",9,"RAYO VALLECANO","ATLETICO MADRID","0-0","0-0",2.1,6.9,5.9,59,41,5,2,8,1,2,23,79,21,20,13,2,0,0,3,2,9,4,4,34,68,26,15,17,2,0,0,0,0,0,0,2014
